[84.57, 0.22]
[84.84, 0.27]
[84.85, 0.59]
[84.95, 0.09]
[85.06, 0.11]
[85.38, 0.52]
[85.38, 0.32]
[85.45, 0.07]
[85.54, 0.09]
[85.59, 0.2]
[85.61, 0.07]
[85.66, 0.05]
[86.12, 0.53]
[86.18, 0.52]
[86.29, 0.11]
[86.48, 0.36]
[86.52, 0.23]
[86.52, 0.04]
[86.57, 0.04]
[86.94, 0.42]
[87.05, 0.1]
[87.08, 0.51]
[87.34, 0.29]
[87.42, 0.08]
[87.49, 0.05]
[87.57, 0.08]
[87.72, 0.64]
[88.2, 0.63]
[88.26, 0.06]
[88.26, 0.53]
[88.31, 0.05]
[88.61, 0.35]
[88.82, 0.51]
[89.25, 0.63]
[89.33, 0.51]
[89.76, 0.51]
[89.82, 0.05]
[89.86, 0.53]
[89.9, 0.07]
[90.0, 0.1]
[90.08, 0.08]
[90.12, 0.25]
[90.49, 0.41]
[90.53, 0.04]
[90.57, 0.04]
[90.68, 0.55]
[90.76, 0.08]
[91.01, 0.24]
[91.1, 0.09]
[91.23, 0.65]
[91.63, 0.52]
[91.64, 0.41]
[91.88, 0.25]
[92.17, 0.52]
[92.21, 0.04]
[92.29, 0.08]
[92.44, 0.55]
[92.69, 0.4]
[92.73, 0.29]
[92.99, 0.25]
[93.03, 0.04]
[93.08, 0.04]
[93.16, 0.08]
[93.32, 0.63]
[93.75, 0.59]
[93.81, 0.05]
[93.85, 0.52]
[93.9, 0.05]
[93.98, 0.08]
[94.35, 0.54]
[94.38, 0.04]
[94.43, 0.04]
[94.57, 0.58]
[94.62, 0.05]
[94.67, 0.05]
[94.71, 0.04]
[94.76, 0.05]
[94.96, 0.52]
[95.02, 0.06]
[95.2, 0.44]
[95.41, 0.39]
[95.61, 0.41]
[95.69, 0.08]
[95.91, 0.49]
[96.06, 0.15]
[96.13, 0.44]
[96.18, 0.05]
[96.62, 0.56]
[96.76, 0.58]
[96.76, 0.13]
[97.0, 0.24]
[97.39, 0.63]
[97.46, 0.07]
[97.54, 0.53]
[97.58, 0.11]
[97.59, 0.04]
[97.79, 0.2]
[97.83, 0.04]
[97.89, 0.06]
[97.94, 0.04]
[98.12, 0.54]
[98.24, 0.12]
[98.46, 0.52]
[98.75, 0.51]
[98.99, 0.53]
[99.06, 0.06]
[99.16, 0.09]
[99.24, 0.08]
[99.33, 0.26]
[99.55, 0.23]
[99.79, 0.54]
[99.83, 0.04]
[99.91, 0.08]
[100.05, 0.49]
[100.13, 0.07]
[100.19, 0.05]
[100.31, 0.11]
[100.53, 0.62]
[100.54, 0.22]
[101.08, 0.54]
[101.17, 0.63]
[101.24, 0.07]
[101.31, 0.23]
[101.52, 0.21]
[101.58, 0.06]
[101.62, 0.04]
[101.63, 0.38]
[101.67, 0.04]
[101.76, 0.09]
[101.84, 0.08]
[102.14, 0.51]
[102.42, 0.57]
[102.84, 0.69]
[102.88, 0.04]
[102.94, 0.52]
[102.99, 0.04]
[103.34, 0.46]
[103.51, 0.51]
[103.72, 0.21]
[103.97, 0.63]
[104.04, 0.06]
[104.25, 0.52]
[104.7, 0.66]
[104.79, 0.09]
[104.83, 0.57]
[105.2, 0.37]
[105.25, 0.05]
[105.32, 0.53]
[105.38, 0.05]
[105.42, 0.04]
[105.7, 0.44]
[105.95, 0.54]
[106.25, 0.54]
[106.26, 0.31]
[106.32, 0.05]
[106.34, 0.08]
[106.36, 0.04]
[106.44, 0.07]
[106.51, 0.07]
[106.74, 0.22]
[106.93, 0.59]
[106.97, 0.04]
[107.0, 0.26]
[107.04, 0.04]
[107.04, 0.07]
[107.08, 0.04]
[107.16, 0.11]
[107.2, 0.04]
[107.62, 0.54]
[107.71, 0.08]
[107.72, 0.51]
[108.25, 0.52]
[108.3, 0.05]
[108.35, 0.64]
[108.41, 0.06]
[108.79, 0.49]
[108.97, 0.56]
[109.35, 0.55]
[109.4, 0.42]
[109.41, 0.06]
[109.71, 0.31]
[109.91, 0.49]
[110.02, 0.31]
[110.45, 0.54]
[110.55, 0.53]
[110.86, 0.3]
[110.96, 0.5]
[111.17, 0.31]
[111.22, 0.05]
[111.34, 0.38]
[111.38, 0.04]
[111.71, 0.32]
[112.01, 0.78]
[112.06, 0.05]
[112.07, 0.35]
[112.1, 0.04]
[112.63, 0.51]
[112.64, 0.57]
[112.74, 0.1]
[112.8, 0.06]
[113.13, 0.49]
[113.16, 0.36]
[113.18, 0.05]
[113.47, 0.31]
[113.6, 0.42]
[113.66, 0.05]
[114.02, 0.55]
[114.15, 0.08]
[114.18, 0.52]
[114.73, 0.58]
[114.74, 0.54]
[114.77, 0.04]
[115.3, 0.55]
[115.35, 0.58]
[115.48, 0.11]
[115.93, 0.63]
[116.09, 0.61]
[116.18, 0.09]
[116.43, 0.5]
[116.51, 0.06]
[116.57, 0.05]
[116.71, 0.53]
[116.77, 0.05]
[117.09, 0.53]
[117.16, 0.06]
[117.27, 0.11]
[117.34, 0.57]
[117.35, 0.08]
[117.64, 0.28]
[117.97, 0.62]
[118.04, 0.08]
[118.17, 0.53]
[118.25, 0.08]
[118.27, 0.23]
[118.32, 0.06]
[118.35, 0.07]
[118.37, 0.05]
[118.39, 0.04]
[118.44, 0.06]
[118.49, 0.05]
[118.61, 0.11]
[119.01, 0.61]
[119.17, 0.56]
[119.22, 0.05]
[119.31, 0.09]
[119.32, 0.31]
[119.35, 0.04]
[119.4, 0.05]
[119.48, 0.06]
[119.52, 0.04]
[119.58, 0.06]
[119.91, 0.32]
[119.95, 0.62]
[119.96, 0.05]
[120.04, 0.07]
[120.1, 0.06]
[120.58, 0.62]
[120.61, 0.5]
[120.62, 0.04]
[121.09, 0.48]
[121.2, 0.58]
[121.62, 0.41]
[121.62, 0.53]
[122.18, 0.56]
[122.25, 0.63]
[122.4, 0.14]
[122.59, 0.41]
[122.67, 0.07]
[122.73, 0.05]
[122.8, 0.07]
[122.87, 0.47]
[122.89, 0.08]
[123.03, 0.14]
[123.13, 0.08]
[123.29, 0.42]
[123.33, 0.03]
[123.42, 0.09]
[123.48, 0.05]
[123.65, 0.51]
[124.03, 0.55]
[124.18, 0.53]
[124.26, 0.07]
[124.32, 0.06]
[124.4, 0.06]
[124.55, 0.51]
[124.79, 0.39]
[124.89, 0.1]
[125.07, 0.52]
[125.12, 0.05]
[125.16, 0.26]
[125.69, 0.56]
[125.7, 0.49]
[126.21, 0.52]
[126.31, 0.6]
[126.74, 0.52]
[126.81, 0.07]
[126.85, 0.54]
[126.9, 0.09]
[127.36, 0.46]
[127.41, 0.55]
[127.46, 0.05]
[127.9, 0.53]
[127.96, 0.49]
[128.41, 0.51]
[128.47, 0.06]
[128.51, 0.54]
[128.57, 0.06]
[128.64, 0.07]
[128.7, 0.05]
[129.03, 0.56]
[129.12, 0.42]
[129.36, 0.24]
[129.56, 0.52]
