[41.2,1.253]
[41.2,1.287]
[41.2,1.291]
[41.2,1.291]
[41.23,1.32]
[41.25,1.336]
[41.29,1.317]
[41.31,1.34]
[41.31,1.31]
[41.31,1.34]
[41.36,1.355]
[41.36,1.385]
[41.41,1.334]
[41.46,1.323]
[41.46,1.378]
[41.48,1.449]
[41.51,1.37]
[41.51,1.372]
[41.51,1.426]
[41.51,1.373]
[41.53,1.368]
[41.53,1.396]
[41.53,1.397]
[41.57,1.435]
[41.57,1.436]
[41.6,1.429]
[41.6,1.379]
[41.6,1.399]
[41.61,1.477]
[41.61,1.438]
[41.62,1.443]
[41.65,1.415]
[41.65,1.449]
[41.66,1.484]
[41.69,1.457]
[41.69,1.457]
[41.71,1.505]
[41.73,1.474]
[41.73,1.501]
[41.77,1.51]
[41.77,1.51]
[41.77,1.51]
[41.77,1.538]
[41.83,1.567]
[41.91,1.645]
[41.94,1.61]
[41.94,1.578]
[41.94,1.612]
[41.94,1.675]
[41.94,1.677]
[41.97,1.609]
[41.97,1.711]
[42.05,1.686]
[42.05,1.695]
[42.07,1.683]
[42.09,1.727]
[42.09,1.711]
[42.15,1.758]
[42.15,1.728]
[42.15,1.762]
[42.18,1.785]
[42.18,1.76]
[42.21,1.728]
[42.24,1.717]
[42.25,1.794]
[42.25,1.824]
[42.28,1.71]
[42.28,1.801]
[42.29,1.897]
[42.32,1.835]
[42.32,1.743]
[42.32,1.743]
[42.33,1.753]
[42.33,1.798]
[42.33,1.798]
[42.33,1.799]
[42.35,1.748]
[42.39,1.779]
[42.39,1.785]
[42.39,1.785]
[42.39,1.817]
[42.42,1.783]
[42.48,1.868]
[42.48,1.837]
[42.48,1.806]
[42.51,1.835]
[42.51,1.835]
[42.51,1.836]
[42.56,1.894]
[42.58,1.969]
[42.61,1.936]
[42.64,1.926]
[42.64,1.927]
[42.64,1.932]
[42.64,1.928]
[42.67,1.963]
[42.67,1.964]
[42.71,1.949]
[42.71,1.997]
[42.75,2.036]
[42.75,1.991]
[42.75,2.041]
[42.82,2.062]
[42.85,2.065]
[42.85,2.094]
[42.87,2.081]
[42.89,2.105]
[42.89,2.106]
[42.89,2.107]
[42.92,2.109]
[42.92,2.057]
[42.92,2.102]
[42.94,2.079]
[42.97,2.068]
[42.97,2.068]
[43.0,2.141]
[43.0,2.054]
[43.02,2.065]
[43.02,2.066]
[43.05,2.077]
[43.05,2.078]
[43.07,2.253]
[43.08,2.104]
[43.08,2.104]
[43.08,2.105]
[43.08,2.105]
[43.12,2.149]
[43.15,2.066]
[43.15,2.108]
[43.15,2.11]
[43.15,2.111]
[43.17,2.135]
[43.17,2.133]
[43.2,2.123]
[43.21,2.344]
[43.24,2.158]
[43.29,2.206]
[43.29,2.207]
[43.32,2.227]
[43.32,2.243]
[43.32,2.243]
[43.35,2.202]
[43.35,2.244]
[43.35,2.268]
[43.38,2.276]
[43.4,2.254]
[43.4,2.271]
[43.42,2.312]
[43.5,2.31]
[43.5,2.352]
[43.53,2.308]
[43.53,2.309]
[43.53,2.317]
[43.53,2.343]
[43.59,2.364]
[43.59,2.397]
[43.62,2.396]
[43.65,2.377]
[43.67,2.404]
[43.69,2.382]
[43.69,2.417]
[43.72,2.41]
[43.72,2.494]
[43.75,2.412]
[43.75,2.482]
[43.75,2.448]
[43.75,2.449]
[43.78,2.475]
[43.8,2.422]
[43.8,2.496]
[43.84,2.497]
[43.84,2.46]
[43.87,2.528]
[43.87,2.49]
[43.87,2.565]
[43.9,2.595]
[43.91,2.498]
[43.94,2.534]
[43.97,2.56]
[43.97,2.562]
[43.97,2.561]
[43.97,2.562]
[43.97,2.591]
[43.99,2.584]
[44.02,2.575]
[44.02,2.617]
[44.06,2.609]
[44.1,2.654]
[44.1,2.624]
[44.1,2.654]
[44.1,2.696]
[44.13,2.683]
[44.13,2.631]
[44.15,2.631]
[44.15,2.651]
[44.21,2.706]
